n_fov,median_log2_oe,mean_log2_oe,support_fraction_gt0,support_fraction_gt025,median_within_fov_null_p,median_within_slide_null_p,median_abundance_random_target_p,n_source_median,n_target_median,slide,tgfb_module,n_caf_cells,n_tgfb_cells
19,0.582240660204748,0.695746849724074,1,0.947368421052632,0.032258064516129,0.032258064516129,0.032258064516129,523,546,slide1,tgfb_emt,10458,9826
19,0.342759546589031,0.408353915795842,0.947368421052632,0.68421052631579,0.032258064516129,0.032258064516129,0.032258064516129,523,556,slide1,tgfb_emt_no_shared,10458,9695
19,0.355767159734124,0.355118377801886,0.842105263157895,0.68421052631579,0.032258064516129,0.032258064516129,0.032258064516129,523,514,slide1,tgfb_emt_no_shared_no_integrin,10458,9711
21,0.35852274222925,0.427269912606989,0.80952380952381,0.714285714285714,0.032258064516129,0.032258064516129,0.032258064516129,113,321,slide2,tgfb_emt,9637,7281
21,0.26913859675674,0.264969345719388,0.761904761904762,0.523809523809524,0.032258064516129,0.032258064516129,0.032258064516129,113,304,slide2,tgfb_emt_no_shared,9637,6820
21,0.248660042075808,0.179624321225526,0.761904761904762,0.476190476190476,0.032258064516129,0.0645161290322581,0.032258064516129,113,312,slide2,tgfb_emt_no_shared_no_integrin,9637,6735
19,0.532975205643995,0.659598582972543,1,0.842105263157895,0.032258064516129,0.032258064516129,0.032258064516129,262,196,slide3,tgfb_emt,6001,3695
19,0.296334353280893,0.385069960639711,0.842105263157895,0.578947368421053,0.129032258064516,0.0645161290322581,0.129032258064516,262,174,slide3,tgfb_emt_no_shared,6001,3563
19,0.150638675219321,0.324561663779437,0.736842105263158,0.473684210526316,0.193548387096774,0.0967741935483871,0.161290322580645,262,175,slide3,tgfb_emt_no_shared_no_integrin,6001,3668
20,0.610273285241779,0.776483270544683,1,1,0.032258064516129,0.032258064516129,0.032258064516129,433.5,164.5,slide4,tgfb_emt,7891,4308
20,0.575406454483109,0.540602518198506,0.9,0.85,0.032258064516129,0.032258064516129,0.032258064516129,433.5,152.5,slide4,tgfb_emt_no_shared,7891,3926
20,0.559795297344305,0.51831813446851,0.95,0.8,0.032258064516129,0.032258064516129,0.032258064516129,433.5,170,slide4,tgfb_emt_no_shared_no_integrin,7891,3950
19,1.08677064436,1.14427219009307,1,1,0.032258064516129,0.032258064516129,0.032258064516129,236,173,slide6,tgfb_emt,8242,4517
19,0.802202859602197,0.928322159761844,1,0.947368421052632,0.032258064516129,0.032258064516129,0.032258064516129,236,167,slide6,tgfb_emt_no_shared,8242,4112
19,0.752947706615359,0.837333234797719,0.947368421052632,0.947368421052632,0.032258064516129,0.032258064516129,0.032258064516129,236,182,slide6,tgfb_emt_no_shared_no_integrin,8242,4312
16,0.987415796716112,0.949139353871418,0.9375,0.9375,0.032258064516129,0.032258064516129,0.032258064516129,241,151.5,slide5,tgfb_emt,4253,2580
16,0.573224774914158,0.581119742881126,0.875,0.75,0.032258064516129,0.032258064516129,0.032258064516129,241,148.5,slide5,tgfb_emt_no_shared,4253,2518
16,0.541114639267677,0.494493843004881,0.875,0.75,0.032258064516129,0.032258064516129,0.032258064516129,241,154.5,slide5,tgfb_emt_no_shared_no_integrin,4253,2632
25,0.745981133479403,0.812898986374756,1,0.84,0.032258064516129,0.032258064516129,0.032258064516129,269,158,slide5b2,tgfb_emt,6493,4137
25,0.431919124565186,0.545945828233661,0.96,0.64,0.032258064516129,0.032258064516129,0.032258064516129,269,133,slide5b2,tgfb_emt_no_shared,6493,3929
25,0.35716901110005,0.467598513420976,0.92,0.6,0.0645161290322581,0.032258064516129,0.032258064516129,269,137,slide5b2,tgfb_emt_no_shared_no_integrin,6493,4029
15,0.847114632355959,0.913089229933679,1,1,0.032258064516129,0.032258064516129,0.032258064516129,232,163,slide5b3,tgfb_emt,3479,2476
15,0.601877730977665,0.761726353629951,1,1,0.032258064516129,0.032258064516129,0.032258064516129,232,145,slide5b3,tgfb_emt_no_shared,3479,2359
15,0.62666252126646,0.700827308092858,1,0.933333333333333,0.032258064516129,0.032258064516129,0.032258064516129,232,156,slide5b3,tgfb_emt_no_shared_no_integrin,3479,2450
