dataset,context,sample_id
GSE274557,Primary PDAC,GSM8452847_Pt-1A
GSE274557,Liver metastasis,GSM8452848_Pt-1B
GSE274557,Peritoneal metastasis,GSM8452849_Pt-1C
GSE274557,Primary PDAC,GSM8452850_Pt-2A
GSE274557,Lung metastasis,GSM8452851_Pt-2B
GSE274557,Peritoneal metastasis,GSM8452852_Pt-2C
GSE274557,Primary PDAC,GSM8452853_Pt-3A
GSE274557,Liver metastasis,GSM8452854_Pt-3B
GSE274557,Peritoneal metastasis,GSM8452855_Pt-3C
GSE274557,Primary PDAC,GSM8452856_Pt-4A
GSE274557,Liver metastasis,GSM8452857_Pt-4B
GSE274557,Lung metastasis,GSM8452858_Pt-4C
GSE274557,Peritoneal metastasis,GSM8452859_Pt-4D
GSE274557,Primary PDAC,GSM8452860_Pt-5A
GSE274557,Liver metastasis,GSM8452861_Pt-5B
GSE274557,Liver metastasis,GSM8452862_Pt-5C
GSE274557,Primary PDAC,GSM8452863_Pt-6A
GSE274557,Liver metastasis,GSM8452864_Pt-6B
GSE274557,Peritoneal metastasis,GSM8452865_Pt-6C
GSE274557,Peritoneal metastasis,GSM8452866_Pt-6D
GSE274557,Primary PDAC,GSM8452867_Pt-7A
GSE274557,Liver metastasis,GSM8452868_Pt-7B
GSE274557,Liver metastasis,GSM8452869_Pt-7C
GSE274557,Peritoneal metastasis,GSM8452870_Pt-7D
GSE274557,Primary PDAC,GSM8452871_Pt-8A
GSE274557,Liver metastasis,GSM8452872_Pt-8B
GSE274557,Liver metastasis,GSM8452873_Pt-8C
GSE274557,Peritoneal metastasis,GSM8452874_Pt-8D
GSE274557,Primary PDAC,GSM8452875_Pt-9A
GSE274557,Liver metastasis,GSM8452876_Pt-9B
GSE274557,Liver metastasis,GSM8452877_Pt-9C
GSE274557,Peritoneal metastasis,GSM8452878_Pt-9D
GSE274557,Primary PDAC,GSM8452879_Pt-10A
GSE274557,Liver metastasis,GSM8452880_Pt-10B
GSE274557,Lung metastasis,GSM8452881_Pt-10C
GSE274557,Peritoneal metastasis,GSM8452882_Pt-10D
GSE274557,Primary PDAC,GSM8452883_Pt-11A
GSE274557,Liver metastasis,GSM8452884_Pt-11B
GSE274557,Lung metastasis,GSM8452885_Pt-11C
GSE274557,Peritoneal metastasis,GSM8452886_Pt-11D
GSE274557,Primary PDAC,GSM8452887_Pt-12A
GSE274557,Liver metastasis,GSM8452888_Pt-12B
GSE274557,Lung metastasis,GSM8452889_Pt-12C
GSE274557,Peritoneal metastasis,GSM8452890_Pt-12D
GSE274557,Primary PDAC,GSM8452891_Pt-13A
GSE274557,Liver metastasis,GSM8452892_Pt-13B
GSE274557,Lung metastasis,GSM8452893_Pt-13C
GSE274557,Peritoneal metastasis,GSM8452894_Pt-13D
GSE274557,Peritoneal metastasis,GSM8452895_Pt-13E
GSE274557,Primary PDAC,GSM8714177_Pt3_Pri2
GSE274557,Primary PDAC,GSM8714178_Pt6_Pri2
GSE274557,Primary PDAC,GSM8714179_Pt6_Pri3
GSE274557,Primary PDAC,GSM8714180_Pt8_Pri2
GSE274557,Primary PDAC,GSM8714181_Pt13_Pri2
GSE274557,Primary PDAC,GSM8714182_Pt13_Pri3
GSE274673,treatment-naive,GSM8454446
GSE274673,chemoradiotherapy-treated,GSM8454447
GSE274673,chemoradiotherapy-treated,GSM8454448
GSE274673,treatment-naive,GSM8454449
GSE274673,treatment-naive,GSM8454450
GSE274673,chemoradiotherapy-treated,GSM8454451
